Filename	Condition	Concentration	Source Plate	Flag	Batch
Acetate-3_A.jpg.dat	acetate	-	-	-	0
Acetate-3_B.jpg.dat	acetate	-	-	-	0
Acetate-3_C.jpg.dat	acetate	-	-	-	0
GlcNac-3_A.jpg.dat	N-acetyl glucosamine	-	-	-	0
GlcNac-3_B.jpg.dat	N-acetyl glucosamine	-	-	-	0
GlcNac-3_C.jpg.dat	N-acetyl glucosamine	-	-	-	0
Glucosamine-3_A.jpg.dat	glucosamine	-	-	-	0
Glucosamine-3_B.jpg.dat	glucosamine	-	-	-	0
Glucosamine-3_C.jpg.dat	glucosamine	-	-	-	0
Glucose-3_A.jpg.dat	control	-	-	-	0
Glucose-3_C.jpg.dat	control	-	-	-	0
Maltose-3_A.jpg.dat	maltose	-	-	-	0
Maltose-3_B.jpg.dat	maltose	-	-	-	0
Maltose-3_C.jpg.dat	maltose	-	-	-	0
Succinate-3_A.jpg.dat	succinate	-	-	-	0
Succinate-3_B.jpg.dat	succinate	-	-	-	0
Succinate-3_C.jpg.dat	succinate	-	-	-	0
Glycerol-3_A.jpg.dat	glycerol	-	-	-	0
Glycerol-3_B.jpg.dat	glycerol	-	-	-	0
Glycerol-3_C.jpg.dat	glycerol	-	-	-	0
