Filename	Condition	Concentration	Source Plate	Flag	Batch
Acetate-1_A.jpg.dat	acetate	-	-	-	0
Acetate-1_B.jpg.dat	acetate	-	-	-	0
Acetate-1_C.jpg.dat	acetate	-	-	-	0
GlcNac-1_A.jpg.dat	N-acetyl glucosamine	-	-	-	0
GlcNac-1_B.jpg.dat	N-acetyl glucosamine	-	-	-	0
GlcNac-1_C.jpg.dat	N-acetyl glucosamine	-	-	-	0
Glucosamine-1_A.jpg.dat	glucosamine	-	-	-	0
Glucosamine-1_B.jpg.dat	glucosamine	-	-	-	0
Glucosamine-1_C.jpg.dat	glucosamine	-	-	-	0
Glucose-1_A.jpg.dat	control	-	-	-	0
Glucose-1_B.jpg.dat	control	-	-	-	0
Glucose-1_C.jpg.dat	control	-	-	-	0
Maltose-1_A.jpg.dat	maltose	-	-	-	0
Maltose-1_B.jpg.dat	maltose	-	-	-	0
Maltose-1_C.jpg.dat	maltose	-	-	-	0
Succinate-1_A.jpg.dat	succinate	-	-	-	0
Succinate-1_B.jpg.dat	succinate	-	-	-	0
Succinate-1_C.jpg.dat	succinate	-	-	-	0
Glycerol-1_A.jpg.dat	glycerol	-	-	-	0
Glycerol-1_B.jpg.dat	glycerol	-	-	-	0
Glycerol-1_C.jpg.dat	glycerol	-	-	-	0
