Filename	Condition	Concentration	Source Plate	Flag	Batch
Acetate-4_A.jpg.dat	acetate	-	-	-	0
Acetate-4_B.jpg.dat	acetate	-	-	-	0
Acetate-4_C.jpg.dat	acetate	-	-	-	0
GlcNac-4_A.jpg.dat	N-acetyl glucosamine	-	-	-	0
GlcNac-4_B.jpg.dat	N-acetyl glucosamine	-	-	-	0
GlcNac-4_C.jpg.dat	N-acetyl glucosamine	-	-	-	0
Glucosamine-4_A.jpg.dat	glucosamine	-	-	-	0
Glucosamine-4_B.jpg.dat	glucosamine	-	-	-	0
Glucosamine-4_C.jpg.dat	glucosamine	-	-	-	0
Glucose-4_A.jpg.dat	control	-	-	-	0
Glucose-4_B.jpg.dat	control	-	-	-	0
Glucose-4_C.jpg.dat	control	-	-	-	0
Maltose-4_A.jpg.dat	maltose	-	-	-	0
Maltose-4_B.jpg.dat	maltose	-	-	-	0
Maltose-4_C.jpg.dat	maltose	-	-	-	0
Succinate-4_A.jpg.dat	succinate	-	-	-	0
Succinate-4_B.jpg.dat	succinate	-	-	-	0
Succinate-4_C.jpg.dat	succinate	-	-	-	0
Glycerol-4_B.jpg.dat	glycerol	-	-	-	0
Glycerol-4_C.jpg.dat	glycerol	-	-	-	0
