Filename	Condition	Concentration	Source Plate	Flag	Batch
Acetate-2_A.jpg.dat	acetate	-	-	-	0
Acetate-2_B.jpg.dat	acetate	-	-	-	0
Acetate-2_C.jpg.dat	acetate	-	-	-	0
GlcNac-2_A.jpg.dat	N-acetyl glucosamine	-	-	-	0
GlcNac-2_B.jpg.dat	N-acetyl glucosamine	-	-	-	0
GlcNac-2_C.jpg.dat	N-acetyl glucosamine	-	-	-	0
Glucosamine-2_A.jpg.dat	glucosamine	-	-	-	0
Glucosamine-2_B.jpg.dat	glucosamine	-	-	-	0
Glucosamine-2_C.jpg.dat	glucosamine	-	-	-	0
Glucose-2_A.jpg.dat	control	-	-	-	0
Glucose-2_B.jpg.dat	control	-	-	-	0
Glucose-2_C.jpg.dat	control	-	-	-	0
Maltose-2_A.jpg.dat	maltose	-	-	-	0
Maltose-2_B.jpg.dat	maltose	-	-	-	0
Maltose-2_C.jpg.dat	maltose	-	-	-	0
Succinate-2_A.jpg.dat	succinate	-	-	-	0
Succinate-2_B.jpg.dat	succinate	-	-	-	0
Succinate-2_C.jpg.dat	succinate	-	-	-	0
Glycerol-2_A.jpg.dat	glycerol	-	-	-	0
Glycerol-2_B.jpg.dat	glycerol	-	-	-	0
Glycerol-2_C.jpg.dat	glycerol	-	-	-	0
