Filename	Condition	Concentration	Source Plate	Flag	Batch
Acetate-6_A.jpg.dat	acetate	-	-	-	0
Acetate-6_B.jpg.dat	acetate	-	-	-	0
Acetate-6_C.jpg.dat	acetate	-	-	-	0
GlcNac-6_A.jpg.dat	N-acetyl glucosamine	-	-	-	0
GlcNac-6_B.jpg.dat	N-acetyl glucosamine	-	-	-	0
GlcNac-6_C.jpg.dat	N-acetyl glucosamine	-	-	-	0
Glucosamine-6_A.jpg.dat	glucosamine	-	-	-	0
Glucosamine-6_B.jpg.dat	glucosamine	-	-	-	0
Glucosamine-6_C.jpg.dat	glucosamine	-	-	-	0
Glucose-6_A.jpg.dat	control	-	-	-	0
Glucose-6_B.jpg.dat	control	-	-	-	0
Glucose-6_C.jpg.dat	control	-	-	-	0
Maltose-6_A.jpg.dat	maltose	-	-	-	0
Maltose-6_B.jpg.dat	maltose	-	-	-	0
Maltose-6_C.jpg.dat	maltose	-	-	-	0
Succinate-6_A.jpg.dat	succinate	-	-	-	0
Succinate-6_B.jpg.dat	succinate	-	-	-	0
Succinate-6_C.jpg.dat	succinate	-	-	-	0
Glycerol-6_A.jpg.dat	glycerol	-	-	-	0
Glycerol-6_B.jpg.dat	glycerol	-	-	-	0
Glycerol-6_C.jpg.dat	glycerol	-	-	-	0
